Fecha,Tipo Entidad,Código Entidad,Código Tipo Persona,Código Sexo,Código Tipo Garantía,Código Tamaño Empresa,Código Tipo Crédito,Código Producto,Código Plazo,Monto Desembolsado,Tasa,Margen UVR,Número Desembolsos,Código Grupo Étnico,Tipo Tasa,Código Clase Deudor,Código Antiguedad,Código Rango Monto,Código CIIU,Código Municipio
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$1180000,42.02,0,3,7,FS,2,10,201,10,20001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$1191000,42.02,0,1,7,FS,1,10,202,10,8001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$1200000,32.51,0,2,7,FS,2,10,201,7490,11001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$1200000,42.02,0,1,7,FS,2,10,202,7490,11001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$1200000,42.02,0,2,7,FS,1,10,201,6920,8758
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$1200000,42.02,0,2,7,FS,1,10,201,4711,13001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$1250000,42.02,0,2,7,FS,1,10,201,510,54001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$1300000,42.02,0,4,7,FS,2,10,201,10,5001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$1400000,42.02,0,1,7,FS,2,10,202,4652,11001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$1500000,42.02,0,1,7,FS,1,10,202,4923,86568
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$1500000,42.02,0,3,7,FS,1,10,201,9609,54001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$1525000,42.02,0,3,7,FS,1,10,201,10,25200
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$1565000,42.02,0,1,7,FS,2,10,202,10,76147
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$1600000,42.02,0,3,7,FS,2,10,201,6920,25307
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$1610000,42.02,0,2,7,FS,1,10,201,10,68575
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$1630000,42.02,0,9,7,FS,1,10,201,7010,50001
2023-09-29 00:00:00,1,1,1,1,1,1,3,301,201,$1800000,42.02,0,1,7,FS,2,10,202,4923,11001
